ID,CLÁUSULA
17,(xii) Emitir el ticket de cada orden que se solicite de sus Establecimientos de Comercio a través de la Plataforma Rappi. Se aclara que en ningún caso el ticket se podrá emitir a nombre de Rappi;,,,,,,,
18,"(xiii) Entregar los Productos a los Repartidores Independientes en empaques adecuados y totalmente sellados, que preserven la calidad integral de los Productos. De igual forma, junto con los Productos, el Aliado Comercial deberá entregar: (a) los accesorios necesarios para el consumo, tales como cubiertos, servilletas, salsas y condimentos correspondientes; y (b) el correspondiente ticket, de conformidad con lo establecido en los presentes Términos y Condiciones. Los Repartidores Independientes no deberán pagar ningún valor para poder retirar los Productos de los Establecimientos de Comercio; ",,,,,,,
19,(xiv) Verificar que cada orden sea entregada al Repartidor Independiente correcto. Se aclara que el Aliado Comercial será el único responsable de que los Productos sean entregados al Repartidor Independiente que se encuentra gestionando la orden; ,,,,,,,
20,"(xv) En el caso en el que el Usuario/Consumidor reciba un Producto errado o una orden incompleta, el Aliado Comercial deberá asumir el valor del(los) Producto(s) errado(s) y/o faltante(s). De esta manera, el Aliado Comercial autoriza el descuento semanal de dichos valores del total de sus ventas a través de la Plataforma Rappi. El valor pagadero por parte del Aliado Comercial a Rappi, mencionado anteriormente, es de carácter adicional a aquel pagado por concepto de Uso y Alquiler de la Plataforma Rappi;",,,,,,,
21,"(xvi) En el caso en el que el Aliado Comercial se demore 5 (cinco) minutos o más en entregar la orden al Repartidor Independiente después de finalizado el Cooking Time, el Aliado Comercial deberá compensar a Rappi por la suma de $10.00 M.N. (diez pesos 00/100 Moneda Nacional). De esta forma, el Aliado Comercial autoriza el descuento semanal de dichos valores del total de sus ventas generadas a través de la Plataforma Rappi. El valor pagadero por parte del Aliado Comercial a Rappi, mencionado anteriormente, es de carácter adicional a aquel pagado por concepto de Uso y Alquiler de la Plataforma Rappi;",,,,,,,
22,"(xiii) Entrenar a sus domiciliarios de tal forma que cumplan con los siguientes criterios específicos de calidad en la prestación de los servicios de domicilios: (a) puntualidad en la recogida y entrega de los Productos a los Usuarios/Consumidores; (b) brindar una atención de calidad a los Usuarios/Consumidores; y (c) cumplir con las medidas de seguridad para realizar un transporte adecuado de los Productos solicitados por los Usuarios/Consumidores, de acuerdo con la Ley Aplicable. Se aclara que el Aliado Comercial responderá por la totalidad de las acciones u omisiones de sus domiciliarios, entendiéndose que en ningún caso Rappi responderá por dichos domiciliarios;",,,,,,,
23,"(xiv) Entregar los Productos a los Usuarios/Consumidores en empaques adecuados y totalmente sellados, que preserven la calidad integral de los Productos. De igual forma, junto con los Productos, el Aliado Comercial deberá entregar: (a) los accesorios necesarios para el consumo, tales como cubiertos, servilletas, salsas y condimentos correspondientes; y (b) el correspondiente ticket, de conformidad con lo establecido en los presentes Términos y Condiciones; ",,,,,,,
24,"(xv) Responder ante el Usuario/Consumidor frente a cualquier inconveniente con la orden. En el caso en el que Rappi tenga conocimiento de cualquier inconveniente, el Aliado Comercial deberá otorgar una respuesta y corregir el inconveniente dentro de un plazo máximo de 2 (dos) horas; ",,,,,,,
25,"(xvi) Asumir el valor de las compensaciones que se otorguen a los Usuarios/Consumidores por órdenes que tengan peticiones, quejas o reclamos (en adelante, “PQR’s”) por inconvenientes con el(los) Producto(s) o por la no entrega del(os) mismo(s). El valor de la compensación será cobrado al Aliado Comercial de conformidad con lo establecido en los presentes Términos y Condiciones;",,,,,,,
26,"(xvii) Tramitar las cancelaciones de las órdenes en donde se presente algún inconveniente, entendiéndose que en la modalidad MarketPlace el Usuario/Consumidor no podrá realizar dicha cancelación. Se aclara que Rappi no pagará al Aliado Comercial ninguna orden cancelada; ",,,,,,,
